PCA1,PCA2,TIME,VELOCITY,REPEAT,SIMULATOR
-1005.1480290741722,-119.11608112730062,3.5,150.0,4,READDY
395.5151067077789,-23.203362550858856,72.0,15.0,2,READDY
-854.8578623802146,-215.140284220985,8.0,150.0,1,READDY
-107.51859553108966,5.573700956521634,38.5,15.0,4,READDY
99.7477509598333,62.184083973209795,51.0,47.0,3,READDY
591.3946301516485,-31.546976028041627,0.00875,15.0,1,CYTOSIM
31.602034527371416,124.76573700578854,0.001565,47.0,1,CYTOSIM
539.245723219499,52.626293629604675,0.00264,47.0,3,CYTOSIM
-354.4624172840631,68.78147483190753,23.5,15.0,1,READDY
582.5609990584755,-195.024849870475,88.5,4.7,3,READDY
-333.7950182313,97.29535957086216,0.00082,47.0,1,CYTOSIM
512.3525365664723,14.445077445843367,0.00825,15.0,3,CYTOSIM
612.7756808605475,-7.712214414655023,0.000905,150.0,2,CYTOSIM
-1030.732718322844,-187.3788174023224,0.5,4.7,4,READDY
190.45579240905153,98.59903016949522,0.0059,15.0,2,CYTOSIM
412.93032633382,-57.67853419187941,71.5,47.0,3,READDY
-512.365607024921,7.369597534401123,15.5,4.7,2,READDY
-934.8767854477912,-85.13760565922041,9.5e-05,47.0,1,CYTOSIM
719.5920109823471,-53.473493547903786,0.00313,47.0,4,CYTOSIM
103.76655284320469,87.27045676349474,50.0,47.0,4,READDY
367.09927783674203,-3.6154787010347036,69.0,4.7,4,READDY
-440.02199659895325,72.81299794856307,18.0,4.7,1,READDY
-490.68857846612644,96.82526696177445,0.00019,150.0,2,CYTOSIM
-142.34237207735933,120.19176605497103,34.0,15.0,3,READDY
599.4607707802577,-25.140128483691456,0.000895,150.0,2,CYTOSIM
437.6105312241354,53.57830177591768,0.02392,4.7,4,CYTOSIM
658.7677486079594,-157.0524934893989,91.0,47.0,0,READDY
-299.6935017036821,80.92068440147898,25.5,4.7,2,READDY
-227.03247076256403,24.29337460752629,30.5,15.0,1,READDY
1.855807264426403,104.07363620647732,0.014415,4.7,3,CYTOSIM
-89.9539334062718,-382.81136677838697,55.0,150.0,3,READDY
-139.27460548269022,141.58278440973106,0.0122,4.7,2,CYTOSIM
551.9130295767764,-111.05721981639397,87.0,150.0,0,READDY
-893.7561652922789,-219.79723937572453,13.5,150.0,0,READDY
170.45807400495613,99.21400573011204,0.0057,15.0,1,CYTOSIM
-550.9013235634962,23.952715684440363,14.0,4.7,4,READDY
343.7755492966074,70.69678482331767,0.0007,150.0,4,CYTOSIM
411.604196868486,72.0672970797508,0.00076,150.0,2,CYTOSIM
-309.45165537588855,38.855709363118535,25.0,15.0,3,READDY
-177.7987871181021,47.686958902890865,34.0,15.0,1,READDY
-531.1289362437578,-28.101264926068893,15.0,47.0,1,READDY
504.316263475383,-140.83014737165126,83.5,15.0,2,READDY
-221.9983384201484,122.85244870030499,0.010455,4.7,4,CYTOSIM
167.7727380990026,26.8064429075622,57.5,47.0,1,READDY
-486.37051430710414,75.34159522056359,0.0018,15.0,2,CYTOSIM
-734.7553179584345,-39.13305072228138,0.000175,150.0,3,CYTOSIM
221.35706265523885,29.61884627433915,0.01933,4.7,0,CYTOSIM
64.6220102331593,0.08919367482690177,47.5,47.0,0,READDY
64.38200999720476,155.05379732500512,0.00505,15.0,3,CYTOSIM
-609.3927039657569,86.74588505173313,9.0,4.7,0,READDY
43.23971201052365,5.140229620495575,47.5,15.0,0,READDY
368.14685081346425,1.923966519278224,0.022815,4.7,0,CYTOSIM
-747.9674710383391,-6.527771240105494,0.000235,47.0,3,CYTOSIM
375.31371132513226,61.71093944065069,0.02234,4.7,1,CYTOSIM
654.9678214943158,-175.43870643855485,94.0,15.0,2,READDY
544.3632832982021,48.926697066167435,0.0084,15.0,0,CYTOSIM
-559.935675870501,51.33023743135857,12.0,4.7,0,READDY
657.2326352397947,-11.862216725994244,0.00945,15.0,1,CYTOSIM
-538.0174873616074,62.886550236484595,0.00523,4.7,3,CYTOSIM
-367.0712255094233,77.40062004390632,21.0,15.0,3,READDY
171.72669285316238,91.52771734825262,55.0,15.0,4,READDY
-367.5349175069558,43.29533818455013,0.007765,4.7,4,CYTOSIM
492.4108505376626,-10.763208967510536,77.5,4.7,2,READDY
411.05416364695697,71.14347671091821,0.023765,4.7,4,CYTOSIM
-899.1047625016965,-12.188749054636332,2.0,15.0,2,READDY
53.901586656994596,82.38416681425167,0.00158,47.0,0,CYTOSIM
310.01592834967045,-50.804006748806614,66.5,4.7,1,READDY
-427.02232733778067,71.23751264149871,0.000665,47.0,4,CYTOSIM
-66.27542772363415,106.51894168734236,0.00415,15.0,4,CYTOSIM
474.56423618722505,-99.9726922630465,78.5,47.0,4,READDY
131.89743594969264,44.06790524774817,52.5,15.0,1,READDY
705.0327889413836,-228.94475768757104,100.0,150.0,1,READDY
61.64600862070512,128.42837034354795,0.00495,15.0,4,CYTOSIM
695.1514484073248,14.970863968982485,0.003065,47.0,2,CYTOSIM
520.1761960204035,-57.76288328891235,81.0,15.0,4,READDY
636.1279671776826,22.314531034051697,0.02931,4.7,4,CYTOSIM
-542.622357980033,-10.695051185215561,14.0,4.7,2,READDY
254.37126641471895,60.06969560597156,0.00625,15.0,2,CYTOSIM
25.704378743477037,103.19637140487191,0.00147,47.0,1,CYTOSIM
-297.2373428280406,104.57618587285913,0.0009,47.0,2,CYTOSIM
-294.66350587119143,46.60705847085899,0.00903,4.7,3,CYTOSIM
625.3120388679845,23.21257915374872,0.0092,15.0,4,CYTOSIM
517.0764932519899,-48.914765512419194,80.0,15.0,1,READDY
668.0163361515399,43.39797095906988,0.00935,15.0,0,CYTOSIM
353.2820970620791,29.26817762139251,0.000695,150.0,3,CYTOSIM
274.066019337839,69.76724475573735,0.00064,150.0,3,CYTOSIM
747.3863613149374,-58.52465505582427,0.01,15.0,3,CYTOSIM
443.8833456049802,60.52189083304506,0.00078,150.0,1,CYTOSIM
293.63585879008104,-213.3269588680089,73.0,150.0,4,READDY
283.25749991108245,-68.98199407592494,64.5,47.0,0,READDY
-170.92367117490753,59.545680840565865,33.0,4.7,0,READDY
651.2838406532769,-11.219455602219,0.00289,47.0,0,CYTOSIM
527.454860709051,26.876067005619234,0.002605,47.0,2,CYTOSIM
46.97976247720504,-32.9618324632479,48.5,4.7,1,READDY
507.288630343561,23.857049875721373,0.025665,4.7,4,CYTOSIM
193.08474785358425,56.601524951851616,58.0,15.0,0,READDY
-789.3332704192374,-154.42416747120444,8.0,47.0,4,READDY
168.5785646625314,-203.07264427090684,67.5,150.0,3,READDY
-331.34502760570797,78.44863850285094,0.000285,150.0,4,CYTOSIM
-482.9432737645519,123.46434302348837,0.0002,150.0,4,CYTOSIM
674.1348715614649,57.655493912759425,0.0096,15.0,0,CYTOSIM
121.08615023134229,138.13656923718338,0.001755,47.0,2,CYTOSIM
-711.880098202749,-26.65809666663563,7.0,15.0,0,READDY
-614.0596720905498,11.05100555152194,10.5,4.7,2,READDY
-278.19685672976436,106.98912734469116,25.0,47.0,2,READDY
221.87802112184534,13.929487070746859,59.5,15.0,4,READDY
-469.1916901563272,91.23987614380428,0.0019,15.0,0,CYTOSIM
170.22749426439424,56.18522844231143,55.0,4.7,4,READDY
-449.9367453646521,69.88461892981343,0.00205,15.0,0,CYTOSIM
-651.5340460441599,17.606433195703858,0.000365,47.0,3,CYTOSIM
-546.6514088672088,-305.0500523258082,33.0,150.0,4,READDY
-413.2982408952725,76.18096617743538,0.00681,4.7,4,CYTOSIM
-630.9046642416937,-269.94065136179313,26.5,150.0,4,READDY
455.1735603443564,10.675347605377397,0.002465,47.0,1,CYTOSIM
617.7186842008484,32.10655839035951,0.028835,4.7,4,CYTOSIM
-390.5530281128909,15.585353890831016,21.0,15.0,4,READDY
-879.6917385814356,-126.09750839779463,2.0,15.0,3,READDY
-436.4891718826499,97.24901016750925,0.00022,150.0,1,CYTOSIM
-520.7619453042348,43.15101029215191,0.000505,47.0,3,CYTOSIM
-1006.9893727861968,-106.66497334120936,1e-05,150.0,0,CYTOSIM
163.8507579852357,92.68735611119325,0.0179,4.7,4,CYTOSIM
-980.2006543038221,-157.93548322713173,1.0,4.7,3,READDY
670.7693981758546,-111.59280730544981,95.0,150.0,0,READDY
653.6779211973173,-129.20485285256973,92.5,47.0,1,READDY
203.63379340928185,117.02125876317666,0.00062,150.0,0,CYTOSIM
552.1413633237655,-102.3420426268973,84.5,4.7,4,READDY
471.14809947257294,106.32299916178079,0.0081,15.0,4,CYTOSIM
-290.030831686754,91.76057841176464,24.5,47.0,2,READDY
-449.6860289900544,-516.4856693474642,42.5,150.0,3,READDY
519.7882816591364,-69.94032444389893,82.0,15.0,4,READDY
305.2813263022986,-194.50538696931437,73.5,150.0,4,READDY
-291.0530886665362,65.84199636675419,26.5,4.7,1,READDY
731.7629352115121,-224.85878683246142,99.5,47.0,2,READDY
682.7492206850322,16.39864535303866,0.0301,4.7,1,CYTOSIM
-464.6628979525489,79.9278115108392,0.00602,4.7,2,CYTOSIM
307.381678226015,-33.489356168545214,67.0,150.0,0,READDY
-963.2211591591611,-139.07719287999987,9.0,150.0,0,READDY
114.47875020434805,32.260887449800066,51.0,47.0,2,READDY
221.09884140712364,119.01550279093124,0.01901,4.7,4,CYTOSIM
-890.5338453670463,-37.33886274153417,0.00011,47.0,1,CYTOSIM
-486.34101935775993,57.96461286520673,17.0,15.0,0,READDY
41.615277666204065,-91.40776408112606,52.0,150.0,0,READDY
425.24674291793605,-2.445620353707909,71.5,4.7,0,READDY
170.2265437239284,106.46927367009528,0.01822,4.7,1,CYTOSIM
370.27862838765583,-76.28411424326714,71.0,150.0,2,READDY
379.44240535799526,-85.28621611397864,72.0,47.0,4,READDY
83.36902049904842,77.38540287085254,50.0,15.0,0,READDY
127.25640393762211,61.904508700861015,51.5,4.7,4,READDY
389.0820447224191,-35.0715083574637,69.5,4.7,2,READDY
118.73729102991643,-91.18718763904474,55.0,150.0,0,READDY
-638.3431114988398,26.089867620578048,0.000365,47.0,0,CYTOSIM
377.437508453588,-87.04631015055963,73.0,15.0,4,READDY
-333.8349475299896,-156.0602887513469,29.0,150.0,1,READDY
-80.46753499207728,134.79622245421058,0.000415,150.0,4,CYTOSIM
554.847229347547,-82.94506150290442,85.5,150.0,4,READDY
-566.6561720103875,90.47140179543305,12.0,4.7,2,READDY
516.7995453792814,-40.29372489577156,80.0,47.0,4,READDY
-804.2526723925739,17.02361134664443,5.5,47.0,3,READDY
-922.1511926721985,-110.43716588806183,5e-05,150.0,3,CYTOSIM
-59.075492981180616,72.52671655653955,40.5,15.0,3,READDY
-800.3554694833472,12.773528025605515,0.001585,4.7,0,CYTOSIM
429.6581977224974,-87.45384783931888,75.5,15.0,4,READDY
751.1031823717601,-220.82346947168878,100.0,4.7,2,READDY
358.2218838107812,-20.745276544009016,68.5,4.7,3,READDY
-200.93289155403176,111.06538921327581,0.010615,4.7,0,CYTOSIM
-421.47029978863895,-14.552350796890664,21.0,47.0,0,READDY
715.2790016358667,-126.9355509475057,98.5,15.0,4,READDY
-516.4269890140117,107.3802416310483,0.000535,47.0,2,CYTOSIM
646.0854321177528,-50.83146670827557,90.0,4.7,3,READDY
-396.035152626461,52.905244678529584,22.0,47.0,1,READDY
40.01358756499002,67.32394462860918,0.00155,47.0,4,CYTOSIM
-110.98353447950441,99.99720232701759,0.001215,47.0,3,CYTOSIM
727.2956708843199,-217.31819223135642,99.0,47.0,2,READDY
-776.0741533555879,-257.2782203020246,19.0,150.0,4,READDY
685.8894738117428,-16.519099750022747,0.00305,47.0,1,CYTOSIM
-237.9654812844902,-439.86786288203473,49.5,150.0,3,READDY
-486.381802454326,-211.54243404548095,28.5,150.0,2,READDY
361.50009196792433,92.25427445654907,0.02329,4.7,0,CYTOSIM
-754.5412233152065,-299.6933652338813,16.0,150.0,2,READDY
502.57147981621944,-124.80974592785878,81.0,15.0,3,READDY
-1045.7193417516405,-188.58435765509523,1.0,47.0,2,READDY
693.8576222679399,-241.6339634409236,96.5,47.0,1,READDY
-627.7697653511286,-0.7098286303752275,0.003645,4.7,2,CYTOSIM
-55.21772725122446,133.0122117616246,0.013625,4.7,0,CYTOSIM
331.0528376041927,98.67096426950513,0.00685,15.0,3,CYTOSIM
-229.4123990384398,132.40975952128417,0.00033,150.0,3,CYTOSIM
431.13024195251813,11.666049159192653,0.00237,47.0,3,CYTOSIM
267.3281393575034,83.96112233466886,0.000645,150.0,3,CYTOSIM
-767.6699610123474,-18.939533825007288,3.5,15.0,3,READDY
666.1612075307421,-159.38273712021658,96.0,150.0,3,READDY
-35.92233328745266,111.34506397767916,0.0141,4.7,4,CYTOSIM
-120.98803717170466,93.36540916446427,0.00039,150.0,2,CYTOSIM
455.8771013072499,103.2700791646854,0.00785,15.0,4,CYTOSIM
-109.08794183727883,77.97549295295937,37.0,47.0,1,READDY
225.85876900285183,75.87489920968449,0.01917,4.7,4,CYTOSIM
-654.1108749964009,109.12447598436358,0.00014,150.0,4,CYTOSIM
-287.20004410134175,111.5266196943993,0.00285,15.0,1,CYTOSIM
-170.27696494543173,48.288925443867925,32.5,47.0,0,READDY
571.4104079876308,62.971753429204,0.0087,15.0,2,CYTOSIM
345.58293695114884,39.021193908533064,0.0071,15.0,3,CYTOSIM
-544.5700993718453,87.019923119998,0.00017,150.0,1,CYTOSIM
-595.8547322754698,96.4592448481934,0.000425,47.0,4,CYTOSIM
593.9285767946042,-58.1264902209532,85.5,47.0,4,READDY
592.9484796670499,-22.28429426773073,0.00875,15.0,4,CYTOSIM
430.1321326811441,-14.921706377180726,73.0,4.7,3,READDY
-237.55706730304632,134.3969718200632,0.001025,47.0,4,CYTOSIM
19.172966039765186,64.09044691703946,46.5,47.0,1,READDY
