,PC1,PC2,TIME,VELOCITY,REPEAT,SIMULATOR,COMPRESSION_RATIO,PEAK_ASYMMETRY,NON_COPLANARITY
2296,-641.7717277784661,-73.23670059582199,0.00286,47.0,2,CYTOSIM,0.2709945555081661,0.0173659778371241,0.000681896950042
3004,-423.48733295584407,-140.60574267042716,0.007485,15.0,0,CYTOSIM,0.2245088827578517,0.0078772365119229,0.0022141550532236
6991,-455.5910409603496,50.02377940360319,789.0,15.0,4,READDY,0.2553376961283081,0.001144658990003,0.0055419074130815
3856,-535.7296906380066,-20.530829729957325,0.02659,4.7,2,CYTOSIM,0.2520441125605168,0.0137350952843357,0.0008208773577068
2356,-650.6404549153231,-117.94449120749246,0.002985,47.0,2,CYTOSIM,0.2827495240614092,0.0023048638294378,0.0040405662521643
1992,-308.964054170393,-151.71992571768013,0.00216,47.0,3,CYTOSIM,0.2045226868877079,0.0211820887938816,0.0011451854393817
2812,-222.19336836864832,-125.9953465103878,0.00603,15.0,3,CYTOSIM,0.1808189185328217,0.0016239067159441,0.000366512464941
5000,294.42908652260576,-26.42170045350421,261.0,47.0,3,READDY,0.0950373781374597,0.0099996359221036,0.0019490238147995
2919,415.9319251307466,-121.43665470008227,0.006845,4.7,0,CYTOSIM,0.0648829881317625,0.0315111862969083,4.432237591814787e-05
4370,870.5845173461571,128.2027778040663,95.0,47.0,0,READDY,0.0432148801096522,0.1070542717037001,0.003130423872049
307,479.14431796704343,-46.05650953417222,0.00019,150.0,3,CYTOSIM,0.0555091938774304,0.0643380643428946,1.11785062298707e-05
6390,-258.4163137635495,43.57440458129513,628.0,150.0,1,READDY,0.2065728703290178,0.0018673056151656,0.0046834559226909
1071,-375.48399186831256,-90.31288260512166,0.000725,150.0,2,CYTOSIM,0.2159958189711937,0.0211849789897179,4.2664486565536014e-05
7338,-622.7966740080158,93.61841458738799,879.0,47.0,4,READDY,0.2859689491533236,0.0460874362336645,0.0050857822529548
6446,-259.32576349442013,50.69564798061272,643.0,150.0,0,READDY,0.21102152782654,0.0171981797899061,0.0061506744070911
2534,82.0983597662399,-95.22621851647386,0.00392,15.0,0,CYTOSIM,0.1174558747846714,0.022898181762293,8.424560328519623e-05
7252,-563.5083180229597,177.21179043653987,859.0,4.7,3,READDY,0.2805057730432629,0.0080296039377065,0.0134826180080055
186,865.2268589742754,40.64243954832808,0.00011,47.0,2,CYTOSIM,0.0099891375541676,0.0228301269460973,0.0005047858546934
847,485.2927857640296,-148.5809729776161,0.00057,47.0,3,CYTOSIM,0.0536362658257613,0.0142216540932014,0.0009043238746973
6919,-456.6723566977337,120.187351337882,769.0,47.0,3,READDY,0.2542154712521908,0.0126108018301331,0.0104137986113881
6606,-359.0026300668456,39.53190648478613,688.0,4.7,3,READDY,0.227231884160996,0.0040969186450707,0.0054855331600251
2836,440.83631030837404,-77.5862875175735,0.00621,4.7,2,CYTOSIM,0.0588218260304176,0.0085088866851441,0.0001008835275426
5274,131.17559648587252,-52.226502963899996,337.0,4.7,1,READDY,0.1189927444363689,0.0361221527011378,0.001740014559228
1305,287.86628160108455,-133.91417190381293,0.00089,47.0,1,CYTOSIM,0.0839767855543149,0.0032881226593979,0.0002647626554053
7029,-493.7102348261383,41.924728802707385,799.0,15.0,4,READDY,0.2597441020970357,0.0025760207734329,0.004804462233308
1264,-575.3941701088833,17.061186572238014,0.000855,150.0,0,CYTOSIM,0.2550090516866624,0.0114837627904668,0.0014939309349259
